"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_alchemist_custom_acid_bomb"                       "Acid Bomb"
		"DOTA_Tooltip_ability_alchemist_custom_acid_bomb_Description"           "Hurls a flask of acid at a target. The flask breaks upon impact, stunning the target and splashing a powerful acid on enemies in a radius. Acid decreases armor and deals damage over time to affected enemies."
		"DOTA_Tooltip_ability_alchemist_custom_acid_bomb_Lore"					"Especially useful against enemies that are running away."
		"DOTA_Tooltip_ability_alchemist_custom_acid_bomb_stun_duration"         "STUN DURATION:"
		"DOTA_Tooltip_ability_alchemist_custom_acid_bomb_debuff_duration"       "DEBUFF DURATION:"
		"DOTA_Tooltip_ability_alchemist_custom_acid_bomb_armor_reduction"       "ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_alchemist_custom_acid_bomb_damage_per_second"     "DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_alchemist_custom_acid_bomb_radius"                "RADIUS:"
		
		"DOTA_Tooltip_modifier_custom_acid_bomb_debuff"                         "Acid"
		"DOTA_Tooltip_modifier_custom_acid_bomb_debuff_Description"             "Reduced armor and taking physical damage over time."
		
		"DOTA_Tooltip_ability_alchemist_custom_chemical_rage"                             "Chemical Rage"
		"DOTA_Tooltip_ability_alchemist_custom_chemical_rage_Description"                 "Alchemist causes his Ogre to enter a chemically induced rage, reducing base attack cooldown and increasing movement speed and health regeneration."
		"DOTA_Tooltip_ability_alchemist_custom_chemical_rage_Lore"						  "The brew Razzil gave to the Ogre during their prison bust has become a useful potion in the midst of combat."
		"DOTA_Tooltip_ability_alchemist_custom_chemical_rage_Note0"						  "Bonuses don't work on illusions."
		"DOTA_Tooltip_ability_alchemist_custom_chemical_rage_duration"                    "DURATION:"
		//"DOTA_Tooltip_ability_alchemist_custom_chemical_rage_transformation_time"       "TRANSFORMATION TIME:"
		"DOTA_Tooltip_ability_alchemist_custom_chemical_rage_custom_bonus_move_speed"     "%BONUS MOVE SPEED:"
		"DOTA_Tooltip_ability_alchemist_custom_chemical_rage_custom_base_attack_time"     "BASE ATTACK TIME:"
		"DOTA_Tooltip_ability_alchemist_custom_chemical_rage_custom_bonus_health_regen"   "BONUS HEALTH REGEN:"
		"DOTA_Tooltip_ability_alchemist_custom_chemical_rage_scepter_description"		  "During Chemical Rage all Alchemist's base intelligence is converted into strength."
		//"DOTA_Tooltip_ability_alchemist_custom_chemical_rage_scepter_bonus_damage"        "BONUS DAMAGE PER SCEPTER:"
		//"DOTA_Tooltip_ability_alchemist_custom_chemical_rage_scepter_spell_amp"           "%SPELL AMP PER SCEPTER:"
		
		"DOTA_Tooltip_modifier_alchemist_chemical_rage"									  "Chemical Rage"
		"DOTA_Tooltip_modifier_alchemist_chemical_rage_Description"			              "Reduced BAT, increased HP regen and increased move speed."

		"DOTA_Tooltip_ability_alchemist_custom_philosophers_stone"                        	"Philosopher's Stone"
		"DOTA_Tooltip_ability_alchemist_custom_philosophers_stone_Description"            	"Deals damage in a radius. Damage dealt is equal to %base_damage% + damage based on Alchemist's Strength or Intelligence (whichever is higher) times a multiplier.\n\nPassive: Provides bonus Intelligence.\n\nDamage type: ADAPTIVE\n\nAdaptive damage becomes Magical or Physical damage (whichever is better considering enemy reductions) or Pure (when the enemy has Physical, Magic or Spell immunity)."
		"DOTA_Tooltip_ability_alchemist_custom_philosophers_stone_Lore"					  	"Philosopher's Stone provides great power and wisdom."
		"DOTA_Tooltip_ability_alchemist_custom_philosophers_stone_base_damage"            	"BASE DAMAGE:"
		"DOTA_Tooltip_ability_alchemist_custom_philosophers_stone_bonus_damage_multiplier"	"ATTRIBUTE MULTIPLIER:"
		"DOTA_Tooltip_ability_alchemist_custom_philosophers_stone_radius"                 	"RADIUS:"
		//"DOTA_Tooltip_ability_alchemist_custom_philosophers_stone_projectile_speed"      	"PROJECTILE SPEED:"
		//"DOTA_Tooltip_ability_alchemist_custom_philosophers_stone_projectile_vision"      "PROJECTILE VISION:"
		"DOTA_Tooltip_ability_alchemist_custom_philosophers_stone_bonus_int"              	"BONUS INTELLIGENCE:"
		
		"DOTA_Tooltip_ability_alchemist_custom_transmute"                       	"Transmute"
		"DOTA_Tooltip_ability_alchemist_custom_transmute_Description"               "Kills a non-hero unit for more gold or stuns a hero. Cannot be used on Ancient Creeps. Cooldown is %cooldown_creeps% when used on non-hero units."
		"DOTA_Tooltip_ability_alchemist_custom_transmute_Lore"						"Alchemist is a being of ultimate greed."
		"DOTA_Tooltip_ability_alchemist_custom_transmute_stun_duration"             "STUN DURATION:"
		"DOTA_Tooltip_ability_alchemist_custom_transmute_gold_bounty_multiplier"    "GOLD BOUNTY MULTIPLIER:"
		"DOTA_Tooltip_ability_alchemist_custom_transmute_scepter_description"		"Alchemist can transmute Aghanim's Scepter into a buff to grant an allied hero or himself all Aghanim's Scepter upgrades without taking the item slot."
		"DOTA_Tooltip_ability_alchemist_custom_transmute_shard_description"         "Increases stun duration and cast range. Reduces cooldown and adds damage."
		"DOTA_Tooltip_ability_alchemist_custom_transmute_shard_stun_duration"       "SHARD STUN DURATION:"
		"DOTA_Tooltip_ability_alchemist_custom_transmute_shard_cooldown_heroes"     "SHARD HERO COOLDOWN:"
		"DOTA_Tooltip_ability_alchemist_custom_transmute_shard_cooldown_creeps"     "SHARD CREEP COOLDOWN:"
		"DOTA_Tooltip_ability_alchemist_custom_transmute_shard_bonus_cast_range"    "SHARD BONUS CAST RANGE:"
		"DOTA_Tooltip_ability_alchemist_custom_transmute_shard_hero_damage"         "SHARD DAMAGE:"
		
		"DOTA_Tooltip_modifier_custom_transmuted_hero"                              "Transmuted"
		"DOTA_Tooltip_modifier_custom_transmuted_hero_Description"                  "Stunned and turned into gold."
		
		"DOTA_Tooltip_ability_special_bonus_unique_alchemist_custom_1"              "-{s:value} Chemical Rage Base Attack Time"
		"DOTA_Tooltip_ability_special_bonus_unique_alchemist_custom_2"              "Chemical Rage Super Strong Dispel"
		
		// ******************** ARCHMAGE ********************
		"DOTA_Tooltip_ability_archmage_blizzard"                                          "Blizzard"
		"DOTA_Tooltip_ability_archmage_blizzard_Description"                              "Creates a blizzard storm at the target area. Waves of freezing ice shards damage and slow enemies. Blizzard does 25%% damage to buildings."
		"DOTA_Tooltip_ability_archmage_blizzard_Lore"                                     "The air temperature drops rapidly in the area, chilling all enemies to the core."
		"DOTA_Tooltip_ability_archmage_blizzard_Note0"									  "This ability destroys trees."
		"DOTA_Tooltip_ability_archmage_blizzard_radius"                                   "RADIUS:"
		"DOTA_Tooltip_ability_archmage_blizzard_duration"                                 "DURATION:"
		"DOTA_Tooltip_ability_archmage_blizzard_damage"                                   "DAMAGE PER WAVE:"
		"DOTA_Tooltip_ability_archmage_blizzard_slow_duration"                            "SLOW DURATION PER WAVE:"
		"DOTA_Tooltip_ability_archmage_blizzard_movement_slow"                            "%MOVE SPEED SLOW:"
		"DOTA_Tooltip_ability_archmage_blizzard_attack_speed_slow"                        "ATTACK SPEED SLOW:"
		
		"DOTA_Tooltip_modifier_blizzard_slow"                                             "Blizzard Slow"
		"DOTA_Tooltip_modifier_blizzard_slow_Description"                                 "Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

		"DOTA_Tooltip_ability_archmage_summon_water_elemental"                            "Summon Water Elemental"
		"DOTA_Tooltip_ability_archmage_summon_water_elemental_Description"                "Summons 2 Water Elementals to attack the Archmage's enemies. Water Elementals are fast ranged summoned units."
		"DOTA_Tooltip_ability_archmage_summon_water_elemental_Lore"                       "Every Archmage knows how to tame the water element."
		"DOTA_Tooltip_ability_archmage_summon_water_elemental_duration"                   "DURATION:"
		"DOTA_Tooltip_ability_archmage_summon_water_elemental_damage_tooltip"             "Water Elemental DAMAGE:"
		"DOTA_Tooltip_ability_archmage_summon_water_elemental_hp_tooltip"                 "Water Elemental HP:"
		"DOTA_Tooltip_ability_archmage_summon_water_elemental_ms_tooltip"                 "Water Elemental MS:"

		"DOTA_Tooltip_ability_archmage_arcane_magic"                                      "Arcane Magic"
		"DOTA_Tooltip_ability_archmage_arcane_magic_Description"                          "Grants bonus mana regeneration amplification and bonus cooldown reduction to the target.\n\nPassive: Archmage Aura - Gives additional mana regeneration, mana cost reduction, magic resistance and spell amplification to all friendly units near Archmage."
		"DOTA_Tooltip_ability_archmage_arcane_magic_Lore"                                 "Archmages understand the true essence of magic, and that allows them almost infinite spell usage."
		"DOTA_Tooltip_ability_archmage_arcane_magic_aura_mana_regen"                      "AURA MANA REGEN:"
		"DOTA_Tooltip_ability_archmage_arcane_magic_aura_mana_cost_reduction_pct"         "%AURA MANA-COST REDUCTION:"
		"DOTA_Tooltip_ability_archmage_arcane_magic_aura_magic_resistance"                "%AURA MAGIC RESIST:"
		"DOTA_Tooltip_ability_archmage_arcane_magic_aura_spell_amp"                       "%AURA SPELL AMP:"
		"DOTA_Tooltip_ability_archmage_arcane_magic_aura_radius"                          "AURA RADIUS:"
		"DOTA_Tooltip_ability_archmage_arcane_magic_buff_mana_regen_amp"                  "%BUFF MANA REGEN AMP:"
		"DOTA_Tooltip_ability_archmage_arcane_magic_buff_cd_reduction"                    "%BUFF COOLDOWN REDUCTION:"
		"DOTA_Tooltip_ability_archmage_arcane_magic_buff_duration"                        "BUFF DURATION:"
		
		"DOTA_Tooltip_modifier_archmage_aura_effect"                                      "Archmage Aura"
		"DOTA_Tooltip_modifier_archmage_aura_effect_Description"                          "Bonus %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen, %dMODIFIER_PROPERTY_MANACOST_PERCENTAGE_STACKING%%% mana-cost reduction, %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% spell amp and %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%% magic resistance."

		"DOTA_Tooltip_modifier_arcane_regen_buff"                                         "Arcane Magic"
		"DOTA_Tooltip_modifier_arcane_regen_buff_Description"                             "Affected by %dMODIFIER_PROPERTY_MP_REGEN_AMPLIFY_PERCENTAGE%%% mana regen amp and %dMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%% cooldown reduction."

		"DOTA_Tooltip_ability_archmage_summon_earth_golem"                                "Summon Earth Golem"
		"DOTA_Tooltip_ability_archmage_summon_earth_golem_Description"                    "Summons an Earth Golem to attack the Archmage's enemies. Earth Golems are slow melee summoned units. Earth Golems have Hurl Boulder."
		"DOTA_Tooltip_ability_archmage_summon_earth_golem_Lore"                           "Archmages are known for their annoying golems."
		"DOTA_Tooltip_ability_archmage_summon_earth_golem_duration"                       "DURATION:"
		"DOTA_Tooltip_ability_archmage_summon_earth_golem_damage_tooltip"                 "Earth Golem DAMAGE:"
		"DOTA_Tooltip_ability_archmage_summon_earth_golem_hp_tooltip"                     "Earth Golem HP:"
		"DOTA_Tooltip_ability_archmage_summon_earth_golem_ms_tooltip"                     "Earth Golem MS:"

		"DOTA_Tooltip_ability_earth_golem_hurl_boulder"                                   "Hurl Boulder"
		"DOTA_Tooltip_ability_earth_golem_hurl_boulder_Description"                       "Hurls a boulder at the enemy, damaging and stunning them."
		"DOTA_Tooltip_ability_earth_golem_hurl_boulder_Lore"                              "Earth Golems are literally throwing the piece of themselves at the enemy."
		"DOTA_Tooltip_ability_earth_golem_hurl_boulder_damage"                            "DAMAGE:"
		"DOTA_Tooltip_ability_earth_golem_hurl_boulder_duration"                          "STUN DURATION:"
		"DOTA_Tooltip_ability_earth_golem_hurl_boulder_speed"                             "BOULDER SPEED:"

		"DOTA_Tooltip_ability_archmage_conjure_image"                                     "Conjure Image"
		"DOTA_Tooltip_ability_archmage_conjure_image_Description"                         "Archmage makes a strong illusion of any hero, friend or foe. Illusion deals less damage than the original hero but takes the same amount of damage as the original."
		"DOTA_Tooltip_ability_archmage_conjure_image_Lore"                                "There's only one thing more dangerous than facing Archmage. Facing MORE Archmages!"
		"DOTA_Tooltip_ability_archmage_conjure_image_Note0"                               "You can target yourself with Conjure Image. You can target spell-immune heroes as well."
		"DOTA_Tooltip_ability_archmage_conjure_image_duration"                            "DURATION:"
		"DOTA_Tooltip_ability_archmage_conjure_image_illusion_damage_dealt"               "%ILLUSION DAMAGE DEALT:"
		"DOTA_Tooltip_ability_archmage_conjure_image_illusion_damage_taken"               "%ILLUSION DAMAGE TAKEN:"
		"DOTA_Tooltip_ability_archmage_conjure_image_scepter_description"                 "Illusions made out enemies are super strong illusions (can use spells, benefit from raw damage increases, but their gold bounty is increased)"

		"DOTA_Tooltip_ability_archmage_mass_teleport"                                     "Mass Teleport"
		"DOTA_Tooltip_ability_archmage_mass_teleport_Description"                         "CHANNELED - Teleports the Archmage and nearby allies to a friendly unit or building. Doesn't teleport units and heroes that are channeling."
		"DOTA_Tooltip_ability_archmage_mass_teleport_Lore"                                "Archmage can teleport anywhere where are allies."
		"DOTA_Tooltip_ability_archmage_mass_teleport_Note0"                               "Mass Teleporting disjoints projectiles."
		"DOTA_Tooltip_ability_archmage_mass_teleport_Note1"                               "Doesn't teleport lane creeps."
		"DOTA_Tooltip_ability_archmage_mass_teleport_radius"                              "RADIUS:"
		"DOTA_Tooltip_ability_archmage_mass_teleport_channel_time"                        "CHANNEL TIME:"
		"DOTA_Tooltip_ability_archmage_mass_teleport_shard_description"                   "Grants spell immunity and 50%% damage reduction during any channel."
		
		"DOTA_Tooltip_modifier_mass_teleport_aura"                                        "Mass Teleport Source"
		"DOTA_Tooltip_modifier_mass_teleport_aura_Description"                            "Archmage is channeling Mass Teleport."

		"DOTA_Tooltip_modifier_mass_teleport_aura_effect"                                 "Mass Teleport Ally"
		"DOTA_Tooltip_modifier_mass_teleport_aura_effect_Description"                     "This unit is teleporting with Archmage."

		"DOTA_Tooltip_modifier_mass_teleport_target_effect"                               "Mass Teleport"
		"DOTA_Tooltip_modifier_mass_teleport_target_effect_Description"                   "Archmage is teleporting to this unit with his allies."
		
		"DOTA_Tooltip_modifier_archmage_shard_teleport_buff"                              "Channeling Immunity"
		"DOTA_Tooltip_modifier_archmage_shard_teleport_buff_Description"                  "Spell Immune and taking 50%% less damage while channeling."
		
		"DOTA_Tooltip_ability_special_bonus_unique_archmage_1"                            "+{s:value}% Arcane Magic Cooldown Reduction"

		// ******************** ASTRAL TREKKER ********************
		"DOTA_Tooltip_ability_astral_trekker_entrapment"                                  "Entrapment"
		"DOTA_Tooltip_ability_astral_trekker_entrapment_Description"                      "Interrupts the target and roots them in place."
		"DOTA_Tooltip_ability_astral_trekker_entrapment_Lore"							  "The only way to escape the onslaught of the Astral Trekker is to never oppose him in the first place."
		"DOTA_Tooltip_ability_astral_trekker_entrapment_Note0"							  "Reveals invisible units while trapped."
		"DOTA_Tooltip_ability_astral_trekker_entrapment_Note1"							  "Entrapment can be dispelled only with Super Strong Dispels (for example: Lightning Shaman Purge, Bane Atropos End)"
		"DOTA_Tooltip_ability_astral_trekker_entrapment_duration"                         "DURATION:"
		
		"DOTA_Tooltip_modifier_entrapment"                                                "Entrapment"
		"DOTA_Tooltip_modifier_entrapment_Description"                                    "Rooted and revealed."

		"DOTA_Tooltip_ability_astral_trekker_astral_stomp"                                "Astral Stomp"
		"DOTA_Tooltip_ability_astral_trekker_astral_stomp_Description"                    "Slams the ground, stunning and damaging nearby enemy units. Deals bonus damage only if Giant Growth is learned.\n\nDamage Type: ASTRAL\n\nAstral damage is reduced by magic resistance, and blocked with any kind of immunity (Physical, Magic or Spell immunity)."
		"DOTA_Tooltip_ability_astral_trekker_astral_stomp_Lore"							  "When the mighty Astral Trekker touches the soil with his astral nature, the tremors are felt far and wide."
		"DOTA_Tooltip_ability_astral_trekker_astral_stomp_Note0"						  "Astral Stomp cannot damage Ethereal units (Ghost Scepter etc.)"
		"DOTA_Tooltip_ability_astral_trekker_astral_stomp_Note1"						  "Astral Stomp stun can be dispelled with Basic Dispel."
		"DOTA_Tooltip_ability_astral_trekker_astral_stomp_stun_duration"                  "STUN DURATION:"
		"DOTA_Tooltip_ability_astral_trekker_astral_stomp_radius"                    	  "RADIUS:"
		"DOTA_Tooltip_ability_astral_trekker_astral_stomp_base_damage"                    "BASE DAMAGE:"
		"DOTA_Tooltip_ability_astral_trekker_astral_stomp_base_damage_scepter"            "SCEPTER BASE DAMAGE:"
		"DOTA_Tooltip_ability_astral_trekker_astral_stomp_radius_scepter"          		  "SCEPTER RADIUS:"
		//"DOTA_Tooltip_ability_astral_trekker_astral_stomp_damage_level_1"                 "DAMAGE LEVEL 1:"
		//"DOTA_Tooltip_ability_astral_trekker_astral_stomp_damage_level_2"                 "DAMAGE LEVEL 2:"
		//"DOTA_Tooltip_ability_astral_trekker_astral_stomp_damage_level_3"                 "DAMAGE LEVEL 3:"
		"DOTA_Tooltip_ability_astral_trekker_astral_stomp_scepter_description"			  "Increases base damage and radius."
		
		"DOTA_Tooltip_modifier_astral_stomp"                                              "Astral Stomp"
		"DOTA_Tooltip_modifier_astral_stomp_Description"                                  "Stunned. Dispellable with basic dispel."

		"DOTA_Tooltip_ability_astral_trekker_pulverize"                                   "Pulverize"
		"DOTA_Tooltip_ability_astral_trekker_pulverize_Description"                       "Astral Trekker has a chance to cleave all nearby enemy units when attacking."
		"DOTA_Tooltip_ability_astral_trekker_pulverize_Note0"                             "Cleave damage is reduced by armor type but not by armor value."
		"DOTA_Tooltip_ability_astral_trekker_pulverize_Note1"                             "Cleave damage goes through Spell Immunity."
		"DOTA_Tooltip_ability_astral_trekker_pulverize_Lore"                              "Wanderer can hit hard multiple units."
		"DOTA_Tooltip_ability_astral_trekker_pulverize_cleave_chance"                     "%CLEAVE CHANCE:"
		"DOTA_Tooltip_ability_astral_trekker_pulverize_cleave_damage"					  "%CLEAVE DAMAGE:"
		"DOTA_Tooltip_ability_astral_trekker_pulverize_cleave_start_radius"			  	  "CLEAVE STARTING RADIUS:"
		"DOTA_Tooltip_ability_astral_trekker_pulverize_cleave_distance"			  	      "CLEAVE DISTANCE:"
		"DOTA_Tooltip_ability_astral_trekker_pulverize_cleave_end_radius"			  	  "CLEAVE END RADIUS:"
		
		"DOTA_Tooltip_ability_astral_trekker_time_constant"                               "Time Constant"
		"DOTA_Tooltip_ability_astral_trekker_time_constant_Description"                   "Astral Trekker is immune to certain time-altering spells (Time Stop for example). Also, if his movement speed or attack speed is reduced below the threshold, Time Constant will remove almost all debuffs and stuns from Astral Trekker.\n\nDISPEL TYPE: Super Strong Dispel"
		"DOTA_Tooltip_ability_astral_trekker_time_constant_Note0"						  "Time Constant applies Super Strong Dispel to Astral Trekker."
		"DOTA_Tooltip_ability_astral_trekker_time_constant_Lore"						  "Wanderer is a non linear being, not affected by passing of time."
		"DOTA_Tooltip_ability_astral_trekker_time_constant_ms_threshold"                  "MOVE SPEED THRESHOLD:"
		"DOTA_Tooltip_ability_astral_trekker_time_constant_as_threshold"                  "ATTACK SPEED THRESHOLD:"

		"DOTA_Tooltip_ability_astral_trekker_giant_growth"                                "Giant Growth"
